4e-06	0.1
5e-06	0.05
3e-06	0.0333333
3e-06	0.025
3e-06	0.02
2e-06	0.0166667
2e-06	0.0142857
2e-06	0.0125
2e-06	0.0111111
2e-06	0.01
3e-06	0.00909091
3e-06	0.00833333
2e-06	0.00769231
2e-06	0.00714286
3e-06	0.00666667
3e-06	0.00625
4e-06	0.00588235
4e-06	0.00555556
3e-06	0.00526316
3e-06	0.005
3e-06	0.0047619
3e-06	0.00454545
2e-06	0.00434783
2e-06	0.00416667
2e-06	0.004
3e-06	0.00384615
4e-06	0.0037037
3e-06	0.00357143
3e-06	0.00344828
4e-06	0.00333333
4e-06	0.00322581
4e-06	0.003125
4e-06	0.0030303
4e-06	0.00294118
4e-06	0.00285714
3e-06	0.00277778
4e-06	0.0027027
3e-06	0.00263158
5e-06	0.0025641
3e-06	0.0025
3e-06	0.00243902
4e-06	0.00238095
3e-06	0.00232558
3e-06	0.00227273
4e-06	0.00222222
4e-06	0.00217391
4e-06	0.00212766
4e-06	0.00208333
4e-06	0.00204082
4e-06	0.002
4e-06	0.00196078
3e-06	0.00192308
3e-06	0.00188679
3e-06	0.00185185
3e-06	0.00181818
3e-06	0.00178571
3e-06	0.00175439
3e-06	0.00172414
4e-06	0.00169492
3e-06	0.00166667
3e-06	0.00163934
4e-06	0.0016129
4e-06	0.0015873
4e-06	0.0015625
4e-06	0.00153846
5e-06	0.00151515
4e-06	0.00149254
4e-06	0.00147059
4e-06	0.00144928
4e-06	0.00142857
4e-06	0.00140845
4e-06	0.00138889
4e-06	0.00136986
3e-06	0.00135135
4e-06	0.00133333
4e-06	0.00131579
4e-06	0.0012987
4e-06	0.00128205
4e-06	0.00126582
4e-06	0.00125
4e-06	0.00123457
4e-06	0.00121951
4e-06	0.00120482
3e-06	0.00119048
4e-06	0.00117647
3e-06	0.00116279
4e-06	0.00114943
3e-06	0.00113636
3e-06	0.0011236
4e-06	0.00111111
4e-06	0.0010989
4e-06	0.00108696
3e-06	0.00107527
4e-06	0.00106383
3e-06	0.00105263
4e-06	0.00104167
4e-06	0.00103093
4e-06	0.00102041
4e-06	0.0010101
4e-06	0.001
